country,count,family_code,nr_of_family_members,lives_in_specific,lives_in,age,toothpaste,toothpaste_full_name,f_concentration,children_adult
Latvia,1,10,7,Vidzeme,Town,38,Elmex,Elmex Caries Protection ,1400,
Latvia,1,10,7,Vidzeme,Town,14,Odol-med3,Odol-med3 (Extreme clean),1450,
Latvia,1,10,7,Vidzeme,Town,9,Odol-med3,Odol-med3 (Extreme clean),1450,
Latvia,1,10,7,Kurzeme,City,39,Sensodyne,Sensodyne Ultraszybka Ulga ,1450,
Latvia,1,10,7,Vidzeme,Town,9,Signal,Signal (Junior),1450,children
Latvia,1,10,7,Kurzeme,City,17,Superdrug,Superdrug Pro Care Sensitive Whitening ,1450,
Latvia,1,10,7,Kurzeme,City,18,Superdrug,Superdrug Pro Care Sensitive Whitening ,1450,
Latvia,1,11,8,Vidzeme,Town,7,Elmex,Elmex Junior,1400,children
Latvia,1,11,8,Vidzeme,Town,39,Himalaya,Himalaya Herbals (Complete Care),500,
Latvia,1,11,8,Vidzeme,Town,39,Himalaya,Himalaya Herbals (Complete Care),500,
Latvia,1,11,8,Vidzeme,Town,11,Lacalut,Lacalut (Teens 8+),1400,children
Latvia,1,11,8,Kurzeme,City,13,Sensodyne,Sensodyne Rapid Relief,1450,
Latvia,1,11,8,Kurzeme,City,17,Splat,Splat (Sensitive),0,
Latvia,1,11,8,Kurzeme,City,43,Splat,Splat Ultracomplex ,0,
Latvia,1,11,8,Kurzeme,City,44,Splat,Splat Ultracomplex ,0,
Latvia,1,12,8,Vidzeme,Town,40,Blend-a-med,Blend-a-med Complete Protect expert,1450,
Latvia,1,12,8,Vidzeme,Town,41,Blend-a-med,Blend-a-med Complete Protect expert,1450,
Latvia,1,12,8,Vidzeme,Town,10,Blend-a-med,Blend-a-med Complete Protect expert,1450,
Latvia,1,12,8,Vidzeme,Town,2,Blend-a-med,Blend-a-med Complete Protect expert,1450,
Latvia,1,12,8,Kurzeme,City,17,Colgate,Colgate Total,1450,
Latvia,1,12,8,Kurzeme,City,48,Colgate,Colgate Total,1450,
Latvia,1,12,8,Kurzeme,City,50,Colgate,Colgate Total,1450,
Latvia,1,12,8,Vidzeme,Town,17,Parodontax,Paradontax fluoride,1400,
Latvia,1,13,4,Vidzeme,Town,35,Colgate,Colgate Max white (white crystals),1450,
Latvia,1,13,4,Vidzeme,Town,35,Colgate,Colgate Max white (white crystals),1450,
Latvia,1,13,4,Vidzeme,Town,14,Colgate,Colgate Max white (white crystals),1450,
Latvia,1,13,4,Vidzeme,Town,17,Colgate,Colgate Max white (white crystals),1450,
Latvia,1,14,4,Vidzeme,Town,40,Elgydium,Elgydium (Decay Protection),1350,
Latvia,1,14,4,Vidzeme,Town,42,Elgydium,Elgydium (Decay Protection),1350,
Latvia,1,14,4,Vidzeme,Town,9,Vademecum,Vademecum Junior 6+,500,children
Latvia,1,14,4,Vidzeme,Town,11,Vademecum,Vademecum Junior 6+,500,children
Latvia,1,15,5,Vidzeme,Town,40,Colgate,Colgate total (Visible action),1450,
Latvia,1,15,5,Vidzeme,Town,41,Colgate,Colgate total (Visible action),1450,
Latvia,1,15,5,Vidzeme,Town,10,Colgate,Colgate Total Whitening ,1450,
Latvia,1,15,5,Vidzeme,Town,11,Colgate,Colgate Total Whitening ,1450,
Latvia,1,15,5,Riga,City,17,President,President (Whitening toothpaste),900,
Latvia,1,16,5,Vidzeme,Town,42,Colgate,Colgate Max white (white crystals),1450,
Latvia,1,16,5,Vidzeme,Town,42,Colgate,Colgate Max white (white crystals),1450,
Latvia,1,16,5,Vidzeme,Town,10,Colgate,Colgate Smiles Junior,1450,children
Latvia,1,16,5,Vidzeme,Town,11,Colgate,Colgate Smiles Junior,1450,children
Latvia,1,16,5,Vidzeme,Town,9,Colgate,Colgate Smiles Junior,1450,children
Latvia,1,17,6,Vidzeme,Town,42,Colgate,Colgate Cavity Protection,1500,
Latvia,1,17,6,Vidzeme,Town,41,Colgate,Colgate Cavity Protection,1500,
Latvia,1,17,6,Vidzeme,Town,42,Colgate,Colgate Cavity Protection,1500,
Latvia,1,17,6,Vidzeme,Town,72,Colgate,Colgate Cavity Protection,1500,
Latvia,1,17,6,Vidzeme,Town,10,DentaDoc,DentaDoc kids 0-6,500,children
Latvia,1,17,6,Vidzeme,Town,11,DentaDoc,DentaDoc kids 0-6,500,children
Latvia,1,18,5,Vidzeme,Town,6,Colgate,Colgate Smiles Junior,1450,children
Latvia,1,18,5,Vidzeme,Town,14,President,Pomorin (Classic),1450,
Latvia,1,18,5,Vidzeme,Town,11,President,Pomorin (Classic),1450,
Latvia,1,18,5,Vidzeme,Town,40,President,Pomorin (Classic),1450,
Latvia,1,18,5,Vidzeme,Town,42,President,Pomorin (Classic),1450,
Latvia,1,19,5,Vidzeme,Town,16,Colgate,Colgate Max white (white crystals),1450,
Latvia,1,19,5,Vidzeme,Town,22,Colgate,Colgate Max white (white crystals),1450,
Latvia,1,19,5,Vidzeme,Town,32,Colgate,Colgate Max white (white crystals),1450,
Latvia,1,19,5,Vidzeme,Town,55,Colgate,Colgate Max white (white crystals),1450,
Latvia,1,19,5,Vidzeme,Town,54,Colgate,Colgate Max white (white crystals),1450,
Latvia,1,20,3,Vidzeme,Town,48,Colgate,Colgate Herbal White ,1450,
Latvia,1,20,3,Vidzeme,Town,61,Colgate,Colgate Herbal White ,1450,
Latvia,1,20,3,Vidzeme,Town,16,Sensodyne,Sensodyne (Fluoride),1450,
Latvia,1,21,5,Vidzeme,Town,1,Aquafresh,Aquafresh little teeth 3-5,1450,children
Latvia,1,21,5,Vidzeme,Town,5,Aquafresh,Aquafresh little teeth 3-5,1450,children
Latvia,1,21,5,Vidzeme,Town,54,Natura Siberica,Natura Siberica (Natural black whitening toothpaste),0,
Latvia,1,21,5,Vidzeme,Town,60,Natura Siberica,Natura Siberica (Natural black whitening toothpaste),0,
Latvia,1,21,5,Vidzeme,Town,11,Sensodyne,Sensodyne (Fluoride),1450,
Latvia,1,22,4,Vidzeme,Town,9,Colgate,Colgate Smiles Junior,1450,children
Latvia,1,22,4,Vidzeme,Town,42,Colgate,Colgate Total Whitening ,1450,
Latvia,1,22,4,Vidzeme,Town,39,Colgate,Colgate Total Whitening ,1450,
Latvia,1,22,4,Vidzeme,Town,12,Colgate,Colgate Total Whitening ,1450,
Latvia,1,23,4,Vidzeme,Town,42,Glister,Glister,950,
Latvia,1,23,4,Vidzeme,Town,42,Glister,Glister,950,
Latvia,1,23,4,Vidzeme,Town,13,Glister,Glister,950,
Latvia,1,23,4,Vidzeme,Town,18,Sensodyne,Sensodyne (Fluoride),1450,
Latvia,1,24,3,Vidzeme,Town,11,Elmex,Elmex Junior,1400,children
Latvia,1,24,3,Riga,City,11,Elmex,Elmex Junior,1400,children
Latvia,1,24,3,Vidzeme,Town,35,Sensodyne,Sensodyne Complete,1450,
Latvia,1,25,4,Vidzeme,Town,2,Elgydium,"Elgydium (Kids 2-6, protection caries )",500,children
Latvia,1,25,4,Vidzeme,Town,11,Elmex,Elmex Caries Protection ,1400,
Latvia,1,25,4,Vidzeme,Town,39,Elmex,Elmex Caries Protection ,1400,
Latvia,1,25,4,Vidzeme,Town,39,Elmex,Elmex Caries Protection ,1400,
Latvia,1,32,2,Zemgale,Town,3,Elmex,Elmex Junior,1400,children
Latvia,1,32,2,Zemgale,Town,14,Elmex,Elmex Sensitive ,1450,
Latvia,1,101,4,Latgale,City,17,Faberlic,Faberlic Storie D'amore (fresh breath),0,
Latvia,1,101,4,Latgale,City,39,Faberlic,Faberlic Storie D'amore (fresh breath),0,
Latvia,1,101,4,Latgale,City,40,Optifresh,"Optifresh (system 8, Total protection)",1450,
Latvia,1,101,4,Latgale,City,15,Optifresh,"Optifresh (system 8, Total protection)",1450,
Latvia,1,102,4,Latgale,City,16,Himalaya,Himalaya Herbals (Sparkly white),0,
Latvia,1,102,4,Latgale,City,44,Himalaya,Himalaya Herbals (Sparkly white),0,
Latvia,1,102,4,Latgale,City,44,Himalaya,Himalaya Herbals (Sparkly white),0,
Latvia,1,102,4,Latgale,City,9,Splat,Splat Smilex,0,children
Latvia,1,103,4,Latgale,City,16,Colgate,Colgate Total Whitening ,1450,
Latvia,1,103,4,Latgale,City,40,Colgate,Colgate Total Whitening ,1450,
Latvia,1,103,4,Latgale,City,43,Colgate,Colgate Total Whitening ,1450,
Latvia,1,103,4,Latgale,City,6,SilcaMed,SilcaMed 6+ bkus kola,250,children
Latvia,1,104,2,Latgale,City,38,Splat,Splat Biocalcium,0,
Latvia,1,104,2,Latgale,City,17,Splat,Splat Biocalcium,0,
Latvia,1,105,3,Latgale,City,46,Himalaya,Himalaya Herbals (Sparkly white),0,
Latvia,1,105,3,Latgale,City,17,Splat,Splat White plus,1000,
Latvia,1,105,3,Latgale,City,43,Splat,Splat White plus,1000,
Latvia,1,106,3,Latgale,City,51,Novij zhemchug,Novij zhemchug,0,
Latvia,1,106,3,Latgale,City,16,Splat,Splat (Sensitive),0,
Latvia,1,106,3,Latgale,City,49,Splat,Splat (Sensitive),0,
Latvia,1,107,4,Latgale,City,6,Elmex,Elmex Junior,1400,children
Latvia,1,107,4,Latgale,City,17,President,Pomorin (Classic),1450,
Latvia,1,107,4,Latgale,City,45,President,Pomorin (Classic),1450,
Latvia,1,107,4,Latgale,City,46,President,Pomorin (Classic),1450,
Latvia,1,108,3,Latgale,City,42,Himalaya,Himalaya Botanique (Complete Care),0,
Latvia,1,108,3,Latgale,City,17,President,President (Sensitive),950,
Latvia,1,108,3,Latgale,City,39,President,President (Sensitive),950,
Latvia,1,109,2,Latgale,City,17,Elmex,Elmex sensitive professional,1450,
Latvia,1,109,2,Latgale,City,54,Elmex,Elmex sensitive professional,1450,
Latvia,1,110,3,Latgale,City,44,Ecodenta,Ecodenta black whitening,0,
Latvia,1,110,3,Latgale,City,17,Elmex,Elmex Caries Protection ,1400,
Latvia,1,110,3,Latgale,City,45,Glister,Glister,950,
Latvia,1,111,4,Latgale,City,13,Elmex,Elmex Junior,1400,children
Latvia,1,111,4,Latgale,City,17,Glister,Glister,950,
Latvia,1,111,4,Latgale,City,40,Sensodyne,Sensodyne (Fluoride),1450,
Latvia,1,111,4,Latgale,City,38,Sensodyne,Sensodyne (Fluoride),1450,
Latvia,1,112,4,Latgale,Rural area,41,Elgydium,Elgydium (Dents Sensibles sensitive),1250,
Latvia,1,112,4,Latgale,City,15,Elgydium,Elgydium (Dents Sensibles sensitive),1250,
Latvia,1,112,4,Latgale,City,5,Elgydium,"Elgydium (Kids 2-6, protection caries )",500,children
Latvia,1,112,4,Latgale,Rural area,43,Optifresh,Optifresh (fluoride toothpaste),1450,
Latvia,1,113,5,Latgale,City,3,Glister,Glister (kids),500,children
Latvia,1,113,5,Latgale,City,10,Glister,Glister,950,
Latvia,1,113,5,Latgale,City,16,Glister,Glister,950,
Latvia,1,113,5,Latgale,City,31,Glister,Glister,950,
Latvia,1,113,5,Latgale,Rural area,40,Glister,Glister,950,
Latvia,1,114,7,Latgale,City,37,Colgate,"Colgate (Sensitive with sensifoam, whitening)",1450,
Latvia,1,114,7,Latgale,City,43,Colgate,"Colgate (Sensitive with sensifoam, whitening)",1450,
Latvia,1,114,7,Latgale,City,10,Colgate,Colgate Cavity Protection,1500,
Latvia,1,114,7,Latgale,City,12,Colgate,Colgate Cavity Protection,1500,
Latvia,1,114,7,Latgale,City,14,Colgate,Colgate Cavity Protection,1500,
Latvia,1,114,7,Latgale,City,15,Colgate,Colgate Cavity Protection,1500,
Latvia,1,114,7,Latgale,City,5,Doctordent,Doctor Dent Junior,450,children
